interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,day_ahead_lmp,energy,congestion,loss
2024-01-03T00:00:00-05:00,2024-01-03 05:00:00+00:00,2024-01-03T01:00:00-05:00,2024-01-03 06:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,36.4,36.95,0.0,-0.55
2024-01-03T01:00:00-05:00,2024-01-03 06:00:00+00:00,2024-01-03T02:00:00-05:00,2024-01-03 07:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.99,34.56,0.0,-0.57
2024-01-03T02:00:00-05:00,2024-01-03 07:00:00+00:00,2024-01-03T03:00:00-05:00,2024-01-03 08:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.15,32.7,0.0,-0.55
2024-01-03T03:00:00-05:00,2024-01-03 08:00:00+00:00,2024-01-03T04:00:00-05:00,2024-01-03 09:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,31.91,32.5,0.0,-0.59
2024-01-03T04:00:00-05:00,2024-01-03 09:00:00+00:00,2024-01-03T05:00:00-05:00,2024-01-03 10:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.22,33.88,0.0,-0.66
2024-01-03T05:00:00-05:00,2024-01-03 10:00:00+00:00,2024-01-03T06:00:00-05:00,2024-01-03 11:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,34.98,36.59,0.0,-1.61
2024-01-03T06:00:00-05:00,2024-01-03 11:00:00+00:00,2024-01-03T07:00:00-05:00,2024-01-03 12:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,48.96,51.05,0.0,-2.09
2024-01-03T07:00:00-05:00,2024-01-03 12:00:00+00:00,2024-01-03T08:00:00-05:00,2024-01-03 13:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,49.34,51.12,0.0,-1.78
2024-01-03T08:00:00-05:00,2024-01-03 13:00:00+00:00,2024-01-03T09:00:00-05:00,2024-01-03 14:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,47.07,49.04,0.0,-1.97
2024-01-03T09:00:00-05:00,2024-01-03 14:00:00+00:00,2024-01-03T10:00:00-05:00,2024-01-03 15:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,34.95,36.1,0.0,-1.15
2024-01-03T10:00:00-05:00,2024-01-03 15:00:00+00:00,2024-01-03T11:00:00-05:00,2024-01-03 16:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.7,33.27,0.0,-0.57
2024-01-03T11:00:00-05:00,2024-01-03 16:00:00+00:00,2024-01-03T12:00:00-05:00,2024-01-03 17:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.69,33.12,0.0,-0.43
2024-01-03T12:00:00-05:00,2024-01-03 17:00:00+00:00,2024-01-03T13:00:00-05:00,2024-01-03 18:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,30.67,31.1,0.0,-0.43
2024-01-03T13:00:00-05:00,2024-01-03 18:00:00+00:00,2024-01-03T14:00:00-05:00,2024-01-03 19:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.62,33.16,0.0,-0.54
2024-01-03T14:00:00-05:00,2024-01-03 19:00:00+00:00,2024-01-03T15:00:00-05:00,2024-01-03 20:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,36.6,37.19,0.0,-0.59
2024-01-03T15:00:00-05:00,2024-01-03 20:00:00+00:00,2024-01-03T16:00:00-05:00,2024-01-03 21:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.82,34.04,0.0,-1.22
2024-01-03T16:00:00-05:00,2024-01-03 21:00:00+00:00,2024-01-03T17:00:00-05:00,2024-01-03 22:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,39.28,42.79,0.0,-3.51
2024-01-03T17:00:00-05:00,2024-01-03 22:00:00+00:00,2024-01-03T18:00:00-05:00,2024-01-03 23:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,46.11,50.19,0.0,-4.08
2024-01-03T18:00:00-05:00,2024-01-03 23:00:00+00:00,2024-01-03T19:00:00-05:00,2024-01-04 00:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,45.49,49.71,0.0,-4.22
2024-01-03T19:00:00-05:00,2024-01-04 00:00:00+00:00,2024-01-03T20:00:00-05:00,2024-01-04 01:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,44.34,48.53,0.0,-4.19
2024-01-03T20:00:00-05:00,2024-01-04 01:00:00+00:00,2024-01-03T21:00:00-05:00,2024-01-04 02:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,45.68,47.53,0.0,-1.85
2024-01-03T21:00:00-05:00,2024-01-04 02:00:00+00:00,2024-01-03T22:00:00-05:00,2024-01-04 03:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.7,34.98,0.0,-1.28
2024-01-03T22:00:00-05:00,2024-01-04 03:00:00+00:00,2024-01-03T23:00:00-05:00,2024-01-04 04:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,31.27,32.45,0.0,-1.18
2024-01-03T23:00:00-05:00,2024-01-04 04:00:00+00:00,2024-01-04T00:00:00-05:00,2024-01-04 05:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,34.46,35.97,0.0,-1.51
2024-01-04T00:00:00-05:00,2024-01-04 05:00:00+00:00,2024-01-04T01:00:00-05:00,2024-01-04 06:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,46.16,46.13,0.0,0.03
2024-01-04T01:00:00-05:00,2024-01-04 06:00:00+00:00,2024-01-04T02:00:00-05:00,2024-01-04 07:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,41.26,41.18,0.0,0.08
2024-01-04T02:00:00-05:00,2024-01-04 07:00:00+00:00,2024-01-04T03:00:00-05:00,2024-01-04 08:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,42.48,42.3,0.0,0.18
2024-01-04T03:00:00-05:00,2024-01-04 08:00:00+00:00,2024-01-04T04:00:00-05:00,2024-01-04 09:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,42.04,41.86,0.0,0.18
2024-01-04T04:00:00-05:00,2024-01-04 09:00:00+00:00,2024-01-04T05:00:00-05:00,2024-01-04 10:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,42.58,42.55,0.0,0.03
2024-01-04T05:00:00-05:00,2024-01-04 10:00:00+00:00,2024-01-04T06:00:00-05:00,2024-01-04 11:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,41.88,42.93,0.0,-1.05
2024-01-04T06:00:00-05:00,2024-01-04 11:00:00+00:00,2024-01-04T07:00:00-05:00,2024-01-04 12:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,45.58,47.69,0.0,-2.11
2024-01-04T07:00:00-05:00,2024-01-04 12:00:00+00:00,2024-01-04T08:00:00-05:00,2024-01-04 13:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,48.6,50.74,0.0,-2.14
2024-01-04T08:00:00-05:00,2024-01-04 13:00:00+00:00,2024-01-04T09:00:00-05:00,2024-01-04 14:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,46.79,48.85,0.0,-2.06
2024-01-04T09:00:00-05:00,2024-01-04 14:00:00+00:00,2024-01-04T10:00:00-05:00,2024-01-04 15:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,46.87,48.87,0.0,-2.0
2024-01-04T10:00:00-05:00,2024-01-04 15:00:00+00:00,2024-01-04T11:00:00-05:00,2024-01-04 16:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,49.14,51.27,0.0,-2.13
2024-01-04T11:00:00-05:00,2024-01-04 16:00:00+00:00,2024-01-04T12:00:00-05:00,2024-01-04 17:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,48.16,50.14,0.0,-1.98
2024-01-04T12:00:00-05:00,2024-01-04 17:00:00+00:00,2024-01-04T13:00:00-05:00,2024-01-04 18:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,47.04,49.28,0.0,-2.24
2024-01-04T13:00:00-05:00,2024-01-04 18:00:00+00:00,2024-01-04T14:00:00-05:00,2024-01-04 19:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,47.42,49.61,0.0,-2.19
2024-01-04T14:00:00-05:00,2024-01-04 19:00:00+00:00,2024-01-04T15:00:00-05:00,2024-01-04 20:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,47.78,49.94,0.0,-2.16
2024-01-04T15:00:00-05:00,2024-01-04 20:00:00+00:00,2024-01-04T16:00:00-05:00,2024-01-04 21:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,50.77,53.11,0.0,-2.34
2024-01-04T16:00:00-05:00,2024-01-04 21:00:00+00:00,2024-01-04T17:00:00-05:00,2024-01-04 22:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,49.82,55.09,-0.15,-5.12
2024-01-04T17:00:00-05:00,2024-01-04 22:00:00+00:00,2024-01-04T18:00:00-05:00,2024-01-04 23:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,54.35,60.98,-0.82,-5.81
2024-01-04T18:00:00-05:00,2024-01-04 23:00:00+00:00,2024-01-04T19:00:00-05:00,2024-01-05 00:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,54.37,60.77,-0.81,-5.59
2024-01-04T19:00:00-05:00,2024-01-05 00:00:00+00:00,2024-01-04T20:00:00-05:00,2024-01-05 01:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,51.66,57.31,0.0,-5.65
2024-01-04T20:00:00-05:00,2024-01-05 01:00:00+00:00,2024-01-04T21:00:00-05:00,2024-01-05 02:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,53.35,56.06,0.0,-2.71
2024-01-04T21:00:00-05:00,2024-01-05 02:00:00+00:00,2024-01-04T22:00:00-05:00,2024-01-05 03:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,50.41,52.78,0.01,-2.38
2024-01-04T22:00:00-05:00,2024-01-05 03:00:00+00:00,2024-01-04T23:00:00-05:00,2024-01-05 04:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,49.82,51.71,0.03,-1.92
2024-01-04T23:00:00-05:00,2024-01-05 04:00:00+00:00,2024-01-05T00:00:00-05:00,2024-01-05 05:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,51.06,53.53,0.01,-2.48
2024-01-05T00:00:00-05:00,2024-01-05 05:00:00+00:00,2024-01-05T01:00:00-05:00,2024-01-05 06:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,46.51,48.73,0.02,-2.24
2024-01-05T01:00:00-05:00,2024-01-05 06:00:00+00:00,2024-01-05T02:00:00-05:00,2024-01-05 07:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,48.89,50.94,0.03,-2.08
