interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp,energy,congestion,loss
2024-01-03T09:00:00-05:00,2024-01-03 14:00:00+00:00,2024-01-03T10:00:00-05:00,2024-01-03 15:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,41.63,42.9,0.0,-1.27
2024-01-03T10:00:00-05:00,2024-01-03 15:00:00+00:00,2024-01-03T11:00:00-05:00,2024-01-03 16:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,39.86,40.65,0.0,-0.79
2024-01-03T11:00:00-05:00,2024-01-03 16:00:00+00:00,2024-01-03T12:00:00-05:00,2024-01-03 17:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,37.76,37.83,0.0,-0.07
2024-01-03T12:00:00-05:00,2024-01-03 17:00:00+00:00,2024-01-03T13:00:00-05:00,2024-01-03 18:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,55.16,55.23,0.0,-0.07
2024-01-03T13:00:00-05:00,2024-01-03 18:00:00+00:00,2024-01-03T14:00:00-05:00,2024-01-03 19:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,59.97,60.46,0.0,-0.49
2024-01-03T14:00:00-05:00,2024-01-03 19:00:00+00:00,2024-01-03T15:00:00-05:00,2024-01-03 20:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,74.92,76.25,0.0,-1.33
2024-01-03T15:00:00-05:00,2024-01-03 20:00:00+00:00,2024-01-03T16:00:00-05:00,2024-01-03 21:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,30.94,32.01,0.0,-1.07
2024-01-03T16:00:00-05:00,2024-01-03 21:00:00+00:00,2024-01-03T17:00:00-05:00,2024-01-03 22:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,39.89,43.13,0.0,-3.24
2024-01-03T17:00:00-05:00,2024-01-03 22:00:00+00:00,2024-01-03T18:00:00-05:00,2024-01-03 23:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,46.08,49.89,0.0,-3.81
2024-01-03T18:00:00-05:00,2024-01-03 23:00:00+00:00,2024-01-03T19:00:00-05:00,2024-01-04 00:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,51.92,55.96,0.0,-4.04
2024-01-03T19:00:00-05:00,2024-01-04 00:00:00+00:00,2024-01-03T20:00:00-05:00,2024-01-04 01:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,38.46,41.48,0.0,-3.02
2024-01-03T20:00:00-05:00,2024-01-04 01:00:00+00:00,2024-01-03T21:00:00-05:00,2024-01-04 02:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,37.56,39.52,0.0,-1.96
2024-01-03T21:00:00-05:00,2024-01-04 02:00:00+00:00,2024-01-03T22:00:00-05:00,2024-01-04 03:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.71,34.69,0.0,-0.98
2024-01-03T22:00:00-05:00,2024-01-04 03:00:00+00:00,2024-01-03T23:00:00-05:00,2024-01-04 04:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.02,32.96,0.0,-0.94
2024-01-03T23:00:00-05:00,2024-01-04 04:00:00+00:00,2024-01-04T00:00:00-05:00,2024-01-04 05:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,36.72,37.88,0.0,-1.16
2024-01-04T00:00:00-05:00,2024-01-04 05:00:00+00:00,2024-01-04T01:00:00-05:00,2024-01-04 06:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,41.48,41.71,0.0,-0.23
2024-01-04T01:00:00-05:00,2024-01-04 06:00:00+00:00,2024-01-04T02:00:00-05:00,2024-01-04 07:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,41.66,41.29,0.0,0.37
2024-01-04T02:00:00-05:00,2024-01-04 07:00:00+00:00,2024-01-04T03:00:00-05:00,2024-01-04 08:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,42.19,41.74,0.0,0.45
2024-01-04T03:00:00-05:00,2024-01-04 08:00:00+00:00,2024-01-04T04:00:00-05:00,2024-01-04 09:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,41.19,40.72,0.0,0.47
2024-01-04T04:00:00-05:00,2024-01-04 09:00:00+00:00,2024-01-04T05:00:00-05:00,2024-01-04 10:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,42.24,41.77,0.0,0.47
2024-01-04T05:00:00-05:00,2024-01-04 10:00:00+00:00,2024-01-04T06:00:00-05:00,2024-01-04 11:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,38.16,38.66,0.0,-0.5
2024-01-04T06:00:00-05:00,2024-01-04 11:00:00+00:00,2024-01-04T07:00:00-05:00,2024-01-04 12:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,36.15,37.49,0.0,-1.34
2024-01-04T07:00:00-05:00,2024-01-04 12:00:00+00:00,2024-01-04T08:00:00-05:00,2024-01-04 13:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,28.68,29.65,0.0,-0.97
2024-01-04T08:00:00-05:00,2024-01-04 13:00:00+00:00,2024-01-04T09:00:00-05:00,2024-01-04 14:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,28.38,29.38,0.0,-1.0
2024-01-04T09:00:00-05:00,2024-01-04 14:00:00+00:00,2024-01-04T10:00:00-05:00,2024-01-04 15:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,29.42,30.31,0.0,-0.89
2024-01-04T10:00:00-05:00,2024-01-04 15:00:00+00:00,2024-01-04T11:00:00-05:00,2024-01-04 16:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,46.48,47.99,0.0,-1.51
2024-01-04T11:00:00-05:00,2024-01-04 16:00:00+00:00,2024-01-04T12:00:00-05:00,2024-01-04 17:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,46.95,48.55,0.0,-1.6
2024-01-04T12:00:00-05:00,2024-01-04 17:00:00+00:00,2024-01-04T13:00:00-05:00,2024-01-04 18:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,41.48,42.83,0.0,-1.35
2024-01-04T13:00:00-05:00,2024-01-04 18:00:00+00:00,2024-01-04T14:00:00-05:00,2024-01-04 19:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,39.25,40.59,0.0,-1.34
2024-01-04T14:00:00-05:00,2024-01-04 19:00:00+00:00,2024-01-04T15:00:00-05:00,2024-01-04 20:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,43.46,45.23,0.0,-1.77
2024-01-04T15:00:00-05:00,2024-01-04 20:00:00+00:00,2024-01-04T16:00:00-05:00,2024-01-04 21:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,40.99,42.54,0.0,-1.55
2024-01-04T16:00:00-05:00,2024-01-04 21:00:00+00:00,2024-01-04T17:00:00-05:00,2024-01-04 22:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,43.41,46.55,0.0,-3.14
2024-01-04T17:00:00-05:00,2024-01-04 22:00:00+00:00,2024-01-04T18:00:00-05:00,2024-01-04 23:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,44.78,48.92,0.0,-4.14
2024-01-04T18:00:00-05:00,2024-01-04 23:00:00+00:00,2024-01-04T19:00:00-05:00,2024-01-05 00:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,46.33,50.45,0.0,-4.12
2024-01-04T19:00:00-05:00,2024-01-05 00:00:00+00:00,2024-01-04T20:00:00-05:00,2024-01-05 01:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,53.84,58.54,0.0,-4.7
2024-01-04T20:00:00-05:00,2024-01-05 01:00:00+00:00,2024-01-04T21:00:00-05:00,2024-01-05 02:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,50.69,53.93,0.0,-3.24
2024-01-04T21:00:00-05:00,2024-01-05 02:00:00+00:00,2024-01-04T22:00:00-05:00,2024-01-05 03:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,45.7,47.49,0.0,-1.79
2024-01-04T22:00:00-05:00,2024-01-05 03:00:00+00:00,2024-01-04T23:00:00-05:00,2024-01-05 04:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,42.44,44.06,0.0,-1.62
2024-01-04T23:00:00-05:00,2024-01-05 04:00:00+00:00,2024-01-05T00:00:00-05:00,2024-01-05 05:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,30.97,32.24,0.0,-1.27
2024-01-05T00:00:00-05:00,2024-01-05 05:00:00+00:00,2024-01-05T01:00:00-05:00,2024-01-05 06:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,42.99,44.89,0.0,-1.9
2024-01-05T01:00:00-05:00,2024-01-05 06:00:00+00:00,2024-01-05T02:00:00-05:00,2024-01-05 07:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,35.32,36.68,0.0,-1.36
2024-01-05T02:00:00-05:00,2024-01-05 07:00:00+00:00,2024-01-05T03:00:00-05:00,2024-01-05 08:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,35.93,37.17,0.0,-1.24
2024-01-05T03:00:00-05:00,2024-01-05 08:00:00+00:00,2024-01-05T04:00:00-05:00,2024-01-05 09:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,36.12,37.15,0.0,-1.03
2024-01-05T04:00:00-05:00,2024-01-05 09:00:00+00:00,2024-01-05T05:00:00-05:00,2024-01-05 10:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,37.96,38.95,0.0,-0.99
2024-01-05T05:00:00-05:00,2024-01-05 10:00:00+00:00,2024-01-05T06:00:00-05:00,2024-01-05 11:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,58.64,60.83,0.0,-2.19
2024-01-05T06:00:00-05:00,2024-01-05 11:00:00+00:00,2024-01-05T07:00:00-05:00,2024-01-05 12:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.07,34.61,0.0,-1.54
2024-01-05T07:00:00-05:00,2024-01-05 12:00:00+00:00,2024-01-05T08:00:00-05:00,2024-01-05 13:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,63.93,66.99,0.0,-3.06
2024-01-05T08:00:00-05:00,2024-01-05 13:00:00+00:00,2024-01-05T09:00:00-05:00,2024-01-05 14:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,60.56,63.4,0.0,-2.84
2024-01-05T09:00:00-05:00,2024-01-05 14:00:00+00:00,2024-01-05T10:00:00-05:00,2024-01-05 15:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,67.35,69.64,0.0,-2.29
2024-01-05T10:00:00-05:00,2024-01-05 15:00:00+00:00,2024-01-05T11:00:00-05:00,2024-01-05 16:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,54.97,54.39,0.0,0.58
2024-01-05T11:00:00-05:00,2024-01-05 16:00:00+00:00,2024-01-05T12:00:00-05:00,2024-01-05 17:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,125.34,120.9,0.0,4.44
2024-01-05T12:00:00-05:00,2024-01-05 17:00:00+00:00,2024-01-05T13:00:00-05:00,2024-01-05 18:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,55.38,53.22,0.0,2.16
2024-01-05T13:00:00-05:00,2024-01-05 18:00:00+00:00,2024-01-05T14:00:00-05:00,2024-01-05 19:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,45.05,43.76,0.0,1.29
